english,name,duration,release_date,director,scenarists,actors,type,ratings,brief_into,movie_id
1,Memento,1h 53min,25 May 2001 (USA),['Christopher Nolan'],"['Christopher Nolan', 'Jonathan Nolan', 'Newmarket Capital Group', 'Team Todd', 'I Remember Productions']","['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano']","['Mystery', 'Thriller']",['8.5'],"Memento chronicles two separate stories of Leonard, an ex-insurance investigator who can no longer build new memories, as he attempts to find the murderer of his wife, which is the last thing he remembers. One story line moves forward in time while the other tells the story backwards revealing more each time.",445
1,Feud,45min,TV Series (2017– ),,"['Jaffe Cohen', 'Ryan Murphy', 'Michael Zam', 'Fox 21 Television Studios', 'Plan B Entertainment', 'Ryan Murphy Productions']","['Jessica Lange', 'Susan Sarandon', 'Judy Davis']","['Biography', 'Drama']",['8.7'],Tells the story of the legendary rivalry between Joan Crawford (Jessica Lange) and Bette Davis (Susan Sarandon) during their collaboration on the Academy Award®-nominated thriller What Ever Happened to Baby Jane? and after the cameras stopped rolling. The series explores how the two women endured ageism and misogyny while struggling to hang on to success and fame in the twilight of their careers.,447
1,Mulholland Drive,2h 27min,19 October 2001 (USA),['David Lynch'],"['David Lynch', 'Les Films Alain Sarde', 'Asymmetrical Productions', 'Babbo Inc.']","['Naomi Watts', 'Laura Harring', 'Justin Theroux']","['Drama', 'Mystery', 'Thriller']",['8.0'],"A bright-eyed young actress travels to Hollywood, only to be ensnared in a dark conspiracy involving a woman who was nearly murdered, and now has amnesia because of a car crash. Eventually, both women are pulled into a psychotic illusion involving a dangerous blue box, a director named Adam Kesher, and the mysterious night club Silencio.",449
1,King Kong,3h 7min,14 December 2005 (USA),['Peter Jackson'],"['Fran Walsh', 'Philippa Boyens', 'Universal Pictures', 'WingNut Films', 'Big Primate Pictures']","['Naomi Watts', 'Jack Black', 'Adrien Brody']","['Action', 'Adventure', 'Drama']",['7.2'],"Carl Denham needs to finish his movie and has the perfect location; Skull Island. But he still needs to find a leading lady. This 'soon-to-be-unfortunate' soul is Ann Darrow. No one knows what they will encounter on this island and why it is so mysterious, but once they reach it, they will soon find out. Living on this hidden island is a giant gorilla and this beast now has Ann is its grasps. Carl and Ann's new love, Jack Driscoll must travel through the jungle looking for Kong and Ann, whilst avoiding all sorts of creatures and beasts. But Carl has another plan in mind.",451
1,Shutter Island,2h 18min,19 February 2010 (USA),,"['Laeta Kalogridis', 'Dennis Lehane', 'Paramount Pictures', 'Phoenix Pictures', 'Sikelia Productions']","['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo']","['Mystery', 'Thriller']",['8.1'],"It's 1954, and up-and-coming U.S. marshal Teddy Daniels is assigned to investigate the disappearance of a patient from Boston's Shutter Island Ashecliffe Hospital. He's been pushing for an assignment on the island for personal reasons, but before long he wonders whether he hasn't been brought there as part of a twisted plot by hospital doctors whose radical treatments range from unethical to illegal to downright sinister. Teddy's shrewd investigating skills soon provide a promising lead, but the hospital refuses him access to records he suspects would break the case wide open. As a hurricane cuts off communication with the mainland, more dangerous criminals ""escape"" in the confusion, and the puzzling, improbable clues multiply, Teddy begins to doubt everything - his memory, his partner, even his own sanity.",454
1,Pirates of the Caribbean: The Curse of the Black Pearl,2h 23min,9 July 2003 (USA),['Gore Verbinski'],"['Ted Elliott', 'Terry Rossio', 'Walt Disney Pictures', 'Jerry Bruckheimer Films']","['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom']","['Action', 'Adventure', 'Fantasy']",['8.0'],"This swash-buckling tale follows the quest of Captain Jack Sparrow, a savvy pirate, and Will Turner, a resourceful blacksmith, as they search for Elizabeth Swann. Elizabeth, the daughter of the governor and the love of Will's life, has been kidnapped by the feared Captain Barbossa. Little do they know, but the fierce and clever Barbossa has been cursed. He, along with his large crew, are under an ancient curse, doomed for eternity to neither live, nor die. That is, unless a blood sacrifice is made.",455
1,Roman Holiday,1h 58min,2 September 1953 (USA),['William Wyler'],"['Ian McLellan Hunter', 'John Dighton', 'Paramount Pictures']","['Gregory Peck', 'Audrey Hepburn', 'Eddie Albert']","['Comedy', 'Romance']",['8.1'],"Joe Bradley is a reporter for the American News Service in Rome, a job he doesn't much like as he would rather work for what he considers a real news agency back in the States. He is on the verge of getting fired when he, sleeping in and getting caught in a lie by his boss Hennessy, misses an interview with HRH Princess Ann, who is on a goodwill tour of Europe, Rome only her latest stop. However, he thinks he may have stumbled upon a huge scoop. Princess Ann has officially called off all her Rome engagements due to illness. In reality, he recognizes the photograph of her as being the young well but simply dressed drunk woman he rescued off the street last night (as he didn't want to turn her into the police for being a vagrant), and who is still in his small studio apartment sleeping off her hangover. What Joe doesn't know is that she is really sleeping off the effects of a sedative given to her by her doctor to calm her down after an anxiety attack, that anxiety because she hates her...",459
1,Dead Poets Society,2h 8min,9 June 1989 (USA),['Peter Weir'],"['Tom Schulman', 'Touchstone Pictures', 'Silver Screen Partners IV', 'A Steven Haft Production']","['Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke']","['Comedy', 'Drama']",['8.0'],"Painfully shy Todd Anderson has been sent to the school where his popular older brother was valedictorian. His room-mate, Neil Perry, although exceedingly bright and popular, is very much under the thumb of his overbearing father. The two, along with their other friends, meet Professor Keating, their new English teacher, who tells them of the Dead Poets Society, and encourages them to go against the status quo. Each, in their own way, does this, and are changed for life.",462
1,The Sixth Sense,1h 47min,6 August 1999 (USA),['M. Night Shyamalan'],"['M. Night Shyamalan', 'Hollywood Pictures', 'Spyglass Entertainment', 'Kennedy/Marshall Company, The']","['Bruce Willis', 'Haley Joel Osment', 'Toni Collette']","['Drama', 'Mystery', 'Thriller']",['8.1'],"Malcom Crowe (Bruce Willis)is a child psychologist who receives an award on the same night that he is visited by a very unhappy ex-patient. After this encounter, Crowe takes on the task of curing a young boy with the same ills as the ex-patient (Donnie Wahlberg) . This boy ""sees dead people"". Crowe spends a lot of time with the boy much to the dismay of his wife (Olivia Williams). Cole's mom (Toni Collette) is at her wit's end with what to do about her son's increasing problems. Crowe is the boy's only hope.",464
1,Scent of a Woman,2h 36min,8 January 1993 (USA),['Martin Brest'],"['Giovanni Arpino', 'Bo Goldman', 'Universal Pictures', 'City Light Films']","['Al Pacino', ""Chris O'Donnell"", 'James Rebhorn']",['Drama'],['8.0'],"Frank is a retired Lt Col in the US army. He's blind and impossible to get along with. Charlie is at school and is looking forward to going to university; to help pay for a trip home for Christmas, he agrees to look after Frank over thanksgiving. Frank's niece says this will be easy money, but she didn't reckon on Frank spending his thanksgiving in New York.",466
